idx,article_number,law_id,hierarchy_path,citation,text_arabic,text_english,effective_date,is_active,updated,added
10,11,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85395&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 11 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 11 of Notarization Law No. 1 of 2023""}","لمن رُفض توثيق محرره، أن يتظلم إلى الوزير خلال (15) خمسة عشر يوماً من تاريخ إخطاره بالرفض على عنوانه الوطني. 
	ويبت الوزير في التظلم خلال (30) ثلاثين يوماً من تاريخ تقديمه، ويُعتبر انقضاء هذه المدة دون رد على التظلم رفضاً ضمنياً له، ويكون قرار البت في التظلم نهائياً",,2026-02-06,True,2026-02-06,2026-02-06
11,12,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85396&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 12 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 12 of Notarization Law No. 1 of 2023""}",يتم توثيق المحررات المتعلقة بالأحوال الشخصية لغير المسلمين أمام جهات التوثيق الخاصة بهم أو في الإدارة.,,2026-02-06,True,2026-02-06,2026-02-06
12,13,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85397&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 13 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 13 of Notarization Law No. 1 of 2023""}",يجب على كاتب العدل، قبل توقيع ذوي الشأن على المُحرر المراد توثيقه، أن يتلو عليهم الصيغة الكاملة للمحرر ومرفقاته، وأن يبين لهم الأثر القانوني المترتب عليه، دون أن يؤثر في إرادتهم، ويوقع ذوو الشأن المحرر والمرفقات.,,2026-02-06,True,2026-02-06,2026-02-06
13,14,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85398&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 14 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 14 of Notarization Law No. 1 of 2023""}",تُمهر المحررات بتوقيع كاتب العدل الذي قام بالإجراء دون غيره، وإذا اشترك في إنـجازها أكثر من كاتب عدل، فحينها تُمهر بتوقيعاتهم جميعاً، وتُختم بخاتم الإدارة.,,2026-02-06,True,2026-02-06,2026-02-06
14,15,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85399&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 15 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 15 of Notarization Law No. 1 of 2023""}",لا تُسلم صور المحررات التي تم توثيقها إلا لـذوي الشأن، أو للغير بموجب قرار من جهة قضائية مختصة، أو بإذن من الوزير بناءً على طلب مسبب من جهة حكومية معنية.,,2026-02-06,True,2026-02-06,2026-02-06
15,16,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85400&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 16 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 16 of Notarization Law No. 1 of 2023""}","مع مراعاة أحكام قانون المرافعات المدنية والتجارية المُشار إليه، تتولى الإدارة وضع الصيغة التنفيذية على صور المحررات الموثقة التي تتضمن التزاماً محقق الوجود ومعين المقدار وحال الأداء. 
	كما تتولى الإدارة قبول وإيداع المحررات الموثقة أمام السلطات الأجنبية، وفقاً للضوابط والإجراءات التي يصدر بها قرار من الوزير. 
	ولا يجوز تسليم ذوي الشأن صورة تنفيذية أخرى من المحرر الذي سبق وضع الصيغة التنفيذية عليه، إلا في حالة ثبوت فقدان أو تلف الصورة الأولى، وعدم سبق استخدامها فيما أعدت له، ووفقاً للشروط والإجراءات التي يصدر بها قرار من الوزير",,2026-02-06,True,2026-02-06,2026-02-06
16,17,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85401&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 17 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 17 of Notarization Law No. 1 of 2023""}","لا يجوز أن تُنقل من الإدارة أصول المحررات الموثقة ولا السجـلات والوثائق المرتبطة بها، إلا إلى المحكمة أو النيابية المختصة، لغرض الاطلاع على أي منها ومن ثم إعادتها إلى الإدارة عند انتهاء الغرض الذي تم نقلها من أجله، وذلك وفقاً للشروط والإجراءات التي يصدر بها قرار من الوزير. 
	ويجوز منح ذوي الشأن صورة رسمية من أصول المحررات الموثقة أو السجلات والدفاتر والوثائق المرتبطة بها. 
	ويجب تمكين الخبير المنتدب بقرار من جهة قضائية مختصة من الاطلاع على المحررات الموثقة والسجلات والدفاتر والوثائق المرتبطة بها، وذلك وفقاً للشروط والإجراءات التي يصدر بها قرار من الوزير",,2026-02-06,True,2026-02-06,2026-02-06
17,18,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85402&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 18 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 18 of Notarization Law No. 1 of 2023""}","يجب على الإدارة، عند إجراء أي تحديث للبيانات، إخطار ذوي الشأن به على عنوانهم الوطني، وذلك خـلال (30) ثـلاثـين يوماً من إجرائه. 
	ولذوي الشأن التظلم من هذا الإجراء إلى الوزير خلال (15) خمسة عشر يوماً من تاريخ الإخطار، ويتم البت في التظلم وفقاً للإجراءات المنصوص عليها في المادة (11) من هذا القانون، ويـكون قرار الوزير بالبت في التظلم نهائياً",,2026-02-06,True,2026-02-06,2026-02-06
18,19,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85403&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 19 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 19 of Notarization Law No. 1 of 2023""}","لا يؤثر في صحة المحررات ما يقع فيها من أخطاء مادية من قبل كاتب العدل. 
	ويتولى كاتب العدل تصحيح الخطأ من تلقاء نفسه، أو بناءً على طلب من ذوي الشأن، مع إخطار أطراف المحرر بذلك على عنوانهم الوطني، ويُمهر التصحيح بتوقيعه ويختم بخاتم الإدارة. 
	وإذا وقع الخطأ من أطراف المحرر، فلكاتب العدل تصحيحه بناءً على طلبهم، ويوقِّع أطراف المحرر على التصحيح، ويُمهر بتوقيع كاتب العدل ويُختم بخاتم الإدارة",,2026-02-06,True,2026-02-06,2026-02-06
19,20,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85404&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 20 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 20 of Notarization Law No. 1 of 2023""}",لا يجوز للإدارة توثيق المحررات واجبة التسجيل أو القيد، أو إثبات تاريخها، أو التصديق على توقيعات ذوي الشأن فـيها.,,2026-02-06,True,2026-02-06,2026-02-06
20,21,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85405&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 21 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 21 of Notarization Law No. 1 of 2023""}",يتولى كاتب العدل التصديق على توقيعات ذوي الشأن في المحررات العرفية، بناءً على طلبهم، وعليه إثبات ذلك في السجلات، وإعطاء شهادة بحصول التصديق بناءً على طلب ذوي الشأن.,,2026-02-06,True,2026-02-06,2026-02-06
21,22,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85406&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 22 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 22 of Notarization Law No. 1 of 2023""}",إذا كان المُحرر المقدم للتصديق على توقيعات ذوي الشأن فيه مُحرراً بلغة أجنبية، وجب أن يرفق به ترجمة معتمدة باللغة العربية من مترجم معتمد لدى الوزارة، موقعاً عليها من ذوي الشأن.,,2026-02-06,True,2026-02-06,2026-02-06
22,23,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85407&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 23 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 23 of Notarization Law No. 1 of 2023""}","يتولى كاتب العدل إثبات تاريخ المحررات العرفية التي تُقدم إليه لهذا الغرض، وذلك بوضع خاتم عليها يحمل وقت وتاريخ إتمام الإجراء، بعد إثبات ذلك في السجلات المُعدة لهذا الغرض. 
	وتُعطى الشهادات بحصول إثبات التاريخ من واقع هذه السجلات، بناءً على طلب ذوي الشأن",,2026-02-06,True,2026-02-06,2026-02-06
23,24,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85408&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 24 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 24 of Notarization Law No. 1 of 2023""}",فيما لم يرد به نص خاص في هذا الفصل، تسري على التصديق الأحكام المنظمة للتوثيق وفقاً لأحكام هذا القانون.,,2026-02-06,True,2026-02-06,2026-02-06
24,25,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85409&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 25 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 25 of Notarization Law No. 1 of 2023""}","على كاتب العدل قبل مباشرة عمله أن يؤدي أمام الوزير اليمين التالية: 
	""أقسم بالله العظيم، أن أقوم بواجبات وظيفتي بشرف وأمانة وصدق، وأن أحافظ على أسرارها، وأن أحترم قوانين الدولة"".",,2026-02-06,True,2026-02-06,2026-02-06
25,26,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85410&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 26 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 26 of Notarization Law No. 1 of 2023""}",لا يجوز لكاتب العدل الجمع بين وظيفته رأي عمل آخر يتعـارض مع واجباتها ومسؤولياتها.,,2026-02-06,True,2026-02-06,2026-02-06
26,27,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85411&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 27 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 27 of Notarization Law No. 1 of 2023""}","يُحظر على كاتب العدل إتيان أي فعل أو الامتناع عن فعل، على نحو يتعارض مع مقتضيات وواجبات أو مسؤوليات وظيفته، وبوجه خاص ما يلي: 
	توثيق محرر يخصّه شخصياً، أو تربطه بأي من ذوي الشأن صلة قرابة أو مصاهرة حتى الدرجة الرابعة، أو قبول أي من هؤلاء كخبير ترجمة أو ضامن
	2 - إطلاع أو تمكين الغير من الاطلاع على المحررات الموثقة وسجلات ودفاتر الإدارة، إلا بقرار من جهة قضائية مختصة، أو بـإذن من الوزير بناء على طلب مسبب من جهة حكومية معنية",,2026-02-06,True,2026-02-06,2026-02-06
27,28,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85412&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 28 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 28 of Notarization Law No. 1 of 2023""}",لا يجوز، في غير حالات التلبس، القبض على كاتب العدل، أو تفتيشه، أو التحقيق معه، أو حبسه، لأمور تتعلق بأداء وظيفته، إلا بأمر من رئيس نيابة على الأقل.,,2026-02-06,True,2026-02-06,2026-02-06
